# Ref. Cavity Transverse Wakefield for different offsets. Calculated by Rob Ainsworth with T3P (ACE3P)
# s[m] charge 0.5mm 1.0mm 3.0mm 3.5mm 4.0mm 4.5mm 5.0mm
2.848028351000000177e-03 1.495110921125159984e-15 -1.332534653071087372e-07 -3.005703007623826190e-07 -1.093261452396338690e-06 -1.410608736060887717e-06 -1.816907107315334242e-06 -2.351354726118174158e-06 -3.086762906439579336e-06
2.878007596999999917e-03 1.524798835868710056e-15 -1.369553466507110742e-07 -3.089470374409400163e-07 -1.123204319931296416e-06 -1.448138443759942250e-06 -1.863877162086527817e-06 -2.410537418190408389e-06 -3.163279389200989848e-06
2.907986843000000092e-03 1.555047730693140040e-15 -1.407793464448986596e-07 -3.175525523976369445e-07 -1.153675733247031466e-06 -1.486260556933043982e-06 -1.911602437816705664e-06 -2.470765728706241569e-06 -3.241412894810908238e-06
2.937966087999999837e-03 1.585867612616630035e-15 -1.447256934705846318e-07 -3.263857123152585783e-07 -1.184664254460631969e-06 -1.524974615219807526e-06 -1.960100914221197376e-06 -2.532084952083387763e-06 -3.321227548479073835e-06
2.967945334000000011e-03 1.617268658466439997e-15 -1.487941752453761291e-07 -3.354447086877203137e-07 -1.216160482819651238e-06 -1.564284001555049980e-06 -2.009394749347882457e-06 -2.594543808766769786e-06 -3.402784048052919655e-06
2.997924580000000186e-03 1.649261211261509955e-15 -1.529840915113151720e-07 -3.447270401264056913e-07 -1.248157282154886342e-06 -1.604195913430373128e-06 -2.059509874217580705e-06 -2.658193455687789371e-06 -3.486138248413137995e-06
3.027903825999999927e-03 1.681855786890330080e-15 -1.572941755712071815e-07 -3.542294558343117808e-07 -1.280649886096402494e-06 -1.644721176779657039e-06 -2.110475448035031418e-06 -2.723086361658085091e-06 -3.571339956122453120e-06
3.057883072000000101e-03 1.715063075712800065e-15 -1.617225346839844008e-07 -3.639479212183260266e-07 -1.313635981443110233e-06 -1.685874040062631190e-06 -2.162323356783732111e-06 -2.789275289604253568e-06 -3.658432253502583602e-06
3.087862316999999846e-03 1.748893944077339988e-15 -1.662666592431171664e-07 -3.738776713572930875e-07 -1.347115887842554807e-06 -1.727672090793399002e-06 -2.215087918097186637e-06 -2.856812578598667645e-06 -3.747451547827600115e-06
3.117841563000000021e-03 1.783359441547610155e-15 -1.709235158860998174e-07 -3.840133750688919121e-07 -1.381092868212201409e-06 -1.770136325443667338e-06 -2.268805806413170262e-06 -2.925749733563436669e-06 -3.838428282531663373e-06
